group,gs_name,pval,adj_p,numDEInCat,numInCat,gs_url,gs_description,gene_name
AR Up - H3K27ac Undetected,HES2_TARGET_GENES,1.7969327043840882e-8,1.1459938322209523e-5,274,883,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:Q9Y543 (HES2) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ABCA5; ABHD11; ABLIM1; ACOT7; ACTN1; ADAM9; ADAR; ADD3; AFDN; AGTPBP1; AKR1C3; ALAS1; ALG10; ALG13; ALPK1; AMBRA1; ANK3; ANKEF1; ANP32B; ANXA1; ANXA11; AOPEP; AREG; ARFIP1; ARHGAP24; ARHGAP26; ASCC2; ATAD1; ATF6; ATG10; ATP2C1; ATXN7L1; BCL6; BHLHE40; BMERB1; BMPR1B; BRD4; C1orf21; C2orf76; CADM2; CALCOCO2; CCDC171; CCDC57; CCNG2; CD109; CD59; CDC7; CDK5RAP1; CECR2; CEP112; CHD1; CHP1; CLASP1; CLGN; COL12A1; CRYBG1; CSGALNACT1; CTR9; CTSB; CTSC; CUX1; CXADR; DAAM1; DDX10; DDX60L; DENND10; DENND2B; DIO2; DNAH11; DPH6; DPY19L1; DRAIC; DTNA; DTWD1; ECHDC3; EDEM1; EFCAB2; EFNA5; EHF; EIF4E; EIF5A2; ELOVL6; EPS8; ERCC4; ETV6; EVL; FAM13A; FAM167A; FBXL5; FBXO38; FLNB; FMN1; FNDC3A; FOXN2; GALNT18; GARS1-DT; GBE1; GCC2; GCLC; GNAL; GON4L; GPD1L; GUSBP1; HBS1L; HDAC5; HERPUD2; HERPUD2-AS1; HGD; HIVEP2; HK1; HMG20A; HMOX1; HNMT; HNRNPF; HSPD1; HTR1D; IFNGR1; IGF2R; IL1RAP; IL6R; IQGAP2; IRF2; IRS2; ITGB1; ITGB3BP; ITPRIPL2; JPX; KAT2B; KCNK1; KDM3A; KIAA0232; KLF13; KLF5; KLHL24; LDLRAD4; LGALSL; LIMCH1; LINC00511; LMO4; LMO7; LMX1B; LPIN2; LRBA; LRIG3; LRRFIP2; LTBP1; LZTFL1; MAP3K20; MARCHF3; MBD4; MBNL1; MCTP1; MED23; MEIS1; METTL15; MFSD4B; MFSD6; MIB1; MID1IP1; MIR99AHG; MITF; MRPS5; MTHFD1L; MYO10; NDRG1; NDUFA12; NDUFS4; NEDD4; NEDD4L; NFIA; NFIB; NFKBIA; NGLY1; NHEJ1; NIBAN1; NIBAN2; NIPAL2; NOL11; NRG1; NRP1; NTN4; NUMB; NXN; OIP5; P4HA2; PALMD; PARD3; PCBP1-AS1; PDE4D; PDGFC; PDK1; PDLIM5; PEAK1; PER2; PIGT; PIK3C3; PLCE1; PLOD2; PNRC1; POC1A; PPARG; PRKCH; PTCH1; PTPN12; PTPRG; PTPRM; PVT1; RCL1; RFESD; RFFL; RHOBTB2; RHOBTB3; RNF145; RPS7; RSU1; S100A6; S100A9; SCN8A; SCUBE2; SEL1L3; SGK3; SH3BP4; SHANK2; SKIL; SLC16A1; SLC38A1; SLC38A2; SLC44A1; SMIM14; SNHG16; SNX18; SPATS2L; SPIDR; SPIN1; SPRED2; SQOR; SRBD1; SRRM3; STAT1; SUB1; SYBU; TBC1D16; TBPL1; TCF7L2; TEX2; TFRC; TGFBI; TGFBR2; THADA; TMEM260; TMEM33; TMEM9; TNIP1; TNPO1; TPM4; TPRA1; TSFM; TTC7B; TUT1; USP54; UTRN; VAV3; VMP1; VWA8; WDPCP; WIZ; WWTR1; XDH; YAP1; ZBTB20; ZBTB38; ZC3H7A; ZFP36L2; ZNF706
AR Up - H3K27ac Undetected,ZNF596_TARGET_GENES,3.47604406800584e-8,1.7734776834965793e-5,137,389,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:Q8TC21 (ZNF596) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ACTB; ACTN2; ACVR1; AEBP2; AMOTL1; AP3S2; ARPC5; ATP2B1; ATPAF1; ATRN; ATXN1; AUTS2; BBX; BCL6; BCL9; BICD1; C19orf12; C1orf21; CASP7; CBFA2T2; CDYL; CORO1C; CPLANE1; CSNK1G3; CTNND1; CXADR; DDI2; DHRS4-AS1; DUSP16; EPC1; ETV6; FAM168A; FAM214A; FANCC; FBXW7; FGF13; FRA10AC1; FRMD5; FRYL; GATA3; GFRA1; GLI3; GPNMB; GRAMD1B; HIVEP3; HOXC6; IGF2BP2; INPP4B; IQSEC1; ITGB3BP; JMJD1C; KCNK1; KDM2A; KDM3A; KIAA1671; KLLN; KMT2C; LRBA; MACF1; MAML2; MAPK10; MARCHF6; MBIP; MCC; MECOM; MED12L; MEIS1; MLLT3; MTUS1; MYLK; NALF1; NF1; NFIA; NFIB; NFIX; PAPOLA; PARP12; PATJ; PCDH7; PDE10A; PDE4B; PGRMC1; PHF21A; PIK3R1; PIP4K2A; PITPNC1; PLEKHG3; PMAIP1; POLR2K; PRKCE; PTCH1; PTEN; RAD52; RBM25; REPIN1; REV3L; RFLNA; RFX3; RNF217; RNF43; SEMA3C; SEPTIN7; SIL1; SIPA1L1; SLC19A2; SLC25A12; SLC25A29; SLC35F2; SLC35F3; SLC44A1; SLC4A7; SLC7A2; SMAD3; SMIM8; SOX5; SPRED2; STRN3; SVIL; SYNE2; TBC1D5; TCF7L2; THADA; THSD4; TPM4; TPRA1; TRDMT1; TRIM25; TRPS1; TTC23; USP7; YAP1; ZBTB20; ZCCHC2; ZFHX3; ZNF462; ZNF827; ZSWIM6
AR Up - H3K27ac Undetected,F10_TARGET_GENES,6.433633228139098e-8,2.7353663941638065e-5,77,190,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:P00742 (F10) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ACACA; ADAT2; AGAP1; AGFG1; ANKRD28; ARHGAP24; ARHGAP5; ATP2C1; ATXN7L3B; BMPR1B; CDK5RAP1; CDK6; CREB3L2; CTNND2; CXCR4; DHX32; DMD; EGLN3; EHBP1; ELOVL6; EPHA4; FRMD4B; GABBR1; GLUL; GNAL; JMJD1C; JPX; KCTD1; KIAA0232; LRBA; LRRC49; LTBP1; MAML2; MAP1B; MAP4K3; MEF2A; MIR99AHG; MYO1B; MYO6; NAMPT; NEDD4L; NEDD9; NFAT5; NFXL1; OLA1; PARD3; PBX3; PDE4B; PDGFC; PKIB; PLCH1; RAPGEF2; RBM28; RHOBTB3; SETBP1; SGMS1; SH3BGRL; SLC44A1; SLF1; SOX5; SPART; SPATA13; STAT1; TCF12; TENM2; TENM3; TMEM230; TNFRSF10B; TNKS; TRDMT1; UACA; UBE2E3; VPS41; ZFHX3; ZNF280D; ZNF518A; ZW10
AR Up - H3K27ac Undetected,HALLMARK_ANDROGEN_RESPONSE,2.6939375076041457e-7,9.817477974140251e-5,43,90,,Genes defining response to androgens.,ABCC4; ABHD2; ACTN1; ALDH1A3; APPBP2; AZGP1; BMPR1B; CAMKK2; CDK6; DHCR24; ELK4; ELL2; ELOVL5; FKBP5; GPD1L; GSR; GUCY1A1; HERC3; HMGCR; HOMER2; INPP4B; IQGAP2; ITGAV; LIFR; NDRG1; NGLY1; PDLIM5; PIAS1; PTK2B; RPS6KA3; SELENOP; SLC26A2; SLC38A2; SMS; SORD; STEAP4; STK39; TNFAIP8; TPD52; UAP1; UBE2I; VAPA; ZBTB10
AR Up - H3K27ac Undetected,HALLMARK_UV_RESPONSE_DN,4.0478990439701634e-7,1.2907738076459857e-4,53,121,,Genes down-regulated in response to ultraviolet (UV) radiation.,ABCC1; ACVR2A; ADD3; ADGRL2; AKT3; ANXA4; APBB2; ATP2B1; ATP2C1; ATRN; ATRX; ATXN1; BCKDHB; BHLHE40; CITED2; COL5A2; EFEMP1; ICA1; INPP4B; IRS1; KALRN; KCNMA1; LAMC1; LTBP1; MAGI2; MAP1B; MAPK14; MMP16; MYC; NFIB; NIPBL; NRP1; PDLIM5; PLCB4; PLPP3; PMP22; PPARG; PRDM2; PRKAR2B; PRKCA; PRKCE; PTEN; PTPRM; RND3; SCN8A; SIPA1L1; SMAD3; SYNE1; TGFBR2; TGFBR3; TJP1; VLDLR; YTHDC1
AR Up - H3K27ac Undetected,HBZ_TARGET_GENES,1.3100061276061453e-6,3.713139590581419e-4,150,458,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:P02008 (HBZ) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",AFDN; AKAP7; ALAS1; AMPD3; ANKIB1; ANKRD28; ANP32E; ANTXR2; AP1S2; APLF; ARID1B; ARNT2; ARSG; ATAD2B; ATIC; ATP23; ATP2C1; ATXN7L1; BAG1; BRF1; BTC; C1orf112; CAB39; CACNA2D4; CBLB; CCDC25; CD59; CDC42BPB; CDC42SE2; CDKAL1; CLDN12; CLTC; CLU; CNPPD1; CNTN3; CPAMD8; CPEB4; CRADD; CSTF2T; CWC27; DAAM1; DGUOK; DHRS4L2; DNAH7; EPB41L2; ETV1; FAS; FBXO48; FHIT; FMO5; FN1; FNIP1; GLB1; GON4L; GRB10; GREB1L; GULP1; GYG1; HDAC9; HECW2; HMGB1; HOMER1; IKZF1; IKZF2; IL6ST; KIAA1217; LAMTOR5-AS1; LATS1; LINC00511; LRRCC1; LRRFIP2; LTBP1; LZTFL1; MACF1; MACO1; MAPK6; MEIS1; METTL21A; MFSD11; MIPEP; MPPE1; MTIF2; MYO1B; MYOF; NCEH1; NEDD4; NFATC2; NFXL1; NIBAN2; NPAS2; NRP1; NUBPL; NUMB; NUP43; PALLD; PARK7; PBX1; PCBP1-AS1; PCMT1; PCNX1; PDP1; PHF12; PMAIP1; PPP3CA; PRDX1; PREP; PRKCH; PRXL2A; PSMD1; PYGL; RANBP3L; RBM28; RETREG2; RETSAT; RNF43; SASH1; SCAPER; SEPTIN7P2; SIPA1L1; SLC25A12; SLC38A2; SLC41A2; SNX5; SOX5; SP110; SPG11; SQOR; SRSF2; STAT1; STXBP1; STXBP4; STYK1; SYNE2; TARS2; TBL1XR1; TLN2; TM2D1; TMEM230; TRIQK; TTC38; TTN; UBE2V1; UNKL; USP40; USP54; VPS35L; WWTR1; XYLT1; ZDHHC13; ZSWIM5
AR Up - H3K27ac Undetected,FOXH1_TARGET_GENES,3.356471417134174e-6,8.562358585109278e-4,168,531,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:O75593 (FOXH1) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",AACS; AARS1; ADAM10; AFF4; AKR1C3; ALG13; ALG8; ANK3; ANKRD28; ANP32E; AP3B1; APP; AR; ATP13A4; BCAR3; BCL6; BMPR1B; CAMKMT; CARS2; CAST; CCDC25; CCNF; CCNG2; CDC42BPB; CDC42EP3; CDIN1; CEMIP2; CHST15; CNTNAP2; CPNE4; CTDSP2; CTSC; DAP3; DCLK1; DENND2B; DHDDS; DHX32; DIP2C; DOCK4; DOCK8; DRAIC; ELAPOR2; ELL2; ERC2; ETV1; EXOC4; FAM110B; FAM98A; FGF13; FIRRE; FOXP1; GASK1B-AS1; GNB5; GPR39; GRIP1; HSDL2; ICE2; IFRD1; IGFBP3; INPP4B; ITGAV; IWS1; KDM2A; KIAA1671; LARS1; LDHB; LEKR1; LEMD2; LINC00888; LRRC28; MAPKBP1; MBD4; MECOM; MEIS1; METTL8; MRTFB; MSH6; MTHFD1L; NCKAP5; NDRG1; NEBL; NEDD4; NEDD4L; NFIA; NFIB; NGLY1; NHSL1; NQO1; NUAK1; NUSAP1; OIP5; OLA1; OPA1; OSBPL10; OSBPL8; OXSM; P4HA2; PABPC4; PCMT1; PDE4B; PDE5A; PLEKHM3; PLRG1; PPA1; PRICKLE2; PRKCE; PRKCH; PRKDC; PRPS1; PTCH1; PTPRK; PTPRM; RABGAP1; RASSF6; RBFOX2; RIOX2; RNF217; RNF7; RSRC1; RTN4; SAP130; SEMA3C; SEMA3E; SEMA6D; SHROOM3; SKIL; SLC38A2; SLC39A10; SLC44A3-AS1; SNAP23; SNRPN; SNX18; SPIN2B; SREK1; SS18; ST3GAL1; STARD13; SUCLA2; SYNE1; TAX1BP1; TBL1XR1; TCAF1; TCERG1; TCF7L2; TMCC3; TMEM18; TMEM70; TNFRSF10B; TNK2; TNPO1; TOB1; TOM1L1; TOP3A; TOR1AIP1; TTC23; TXNDC16; USP54; UTRN; VAV3; VEZT; WASHC2A; WEE1; WWTR1; XRN1; YIPF4; ZBTB38; ZNF462; ZNF608
AR Up - H3K27ac Undetected,SRSF9_TARGET_GENES,8.629613566674412e-6,0.0020012858371442205,167,535,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:Q13242 (SRSF9) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ABCA5; ADAT2; ADGRG6; ALG8; ANGPTL4; ANKRD17; ANKRD44; ANO5; ARHGAP24; ARHGAP26; ARHGAP5; ARSG; ASB3; ATAD2; ATR; BABAM2; BCAS3; C16orf87; CCDC68; CCNG2; CCNL1; CENPC; CEP112; CEP76; CLASP1; CLTC; CREB3L2; CTNND1; DCAF17; DHRS2; DMXL1; DSTN; DTNBP1; DYNC1I2; DYNC1LI1; EGLN3; EHBP1; EPB41L2; ESPN; ETAA1; ETV1; EXOC4; FBXO4; FBXO9; FMO5; FN1; FTO; GCFC2; GNG4; GOLGA4; GPATCH8; GPC5; GPHN; GRIP1; GTF2A1; HIBCH; ICA1L; INTS9; ITCH; ITPR2; KCNK1; KCTD20; KDM3A; KIF15; LATS1; LIFR; LINC01137; LPCAT2; LPIN1; LRBA; LRRK2; LTBP1; LUC7L3; MAP2K6; MAP9; METTL23; METTL8; MFSD11; MIPOL1; MIR99AHG; MNAT1; MTA3; MTIF2; NAA20; NBAS; NCOA3; NIBAN1; NOL11; NSMCE2; NUSAP1; OSBPL9; PACRGL; PALMD; PARN; PCBP1-AS1; PDE3B; PDE4B; PDE5A; PDS5B; PHACTR2; PLA2R1; PLPP3; POLE4; POLR3E; PPFIBP1; PRKCH; PRKG1; PRPF4B; PSMD1; PSMD14; PTPN9; PTPRK; RAD18; RAD51B; RANBP17; RAPGEF2; RBM26; REPS1; RFX3; RHOBTB3; RICTOR; RMDN2; RNF103; SAP130; SC5D; SESTD1; SLC25A13; SLC25A36; SMIM14; SNX29; SNX5; SPAG16; SPAG9; SPART; SRBD1; ST7; STAMBP; SYNE1; SYT17; TMEM123; TNPO1; TP53RK; TRIM25; TRPS1; TSHZ2; TTC21B; TTC6; TUBAP13; TUBD1; TUSC3; TXNDC16; UACA; UBE2E3; UQCRB; USF3; UTRN; VPS13C; VPS13D; VPS50; WDPCP; WEE1; WWP1; XRN1; ZC3H7A; ZFHX3; ZMYND11; ZRANB3
AR Up - H3K27ac Undetected,REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,1.535910952838182e-5,0.0032650907005751686,9,10,https://www.reactome.org/content/detail/R-HSA-392154|https://reactome.org/PathwayBrowser/#/R-HSA-392154,Nitric oxide stimulates guanylate cyclase,GUCY1A1; GUCY1A2; ITPR1; KCNMA1; PDE10A; PDE11A; PDE5A; PDE9A; PRKG1
AR Up - H3K27ac Undetected,REACTOME_NEURONAL_SYSTEM,1.8784467541175963e-5,0.0036860905151953754,69,188,https://www.reactome.org/content/detail/R-HSA-112316|https://reactome.org/PathwayBrowser/#/R-HSA-112316,Neuronal System,ACTN2; ADCY1; ADCY2; ALDH2; ALDH5A1; APBA1; CACNA2D3; CACNB4; CALM1; CAMK2B; CAMK2D; CAMKK2; CHRNA5; CHRNA7; CHRNB2; DLG2; EPB41L2; ERBB4; GABBR1; GLRB; GLUL; GNAL; GNB5; GNG4; GRIN2B; GRIP1; HOMER1; HOMER2; IL1RAP; KCNB1; KCNC4; KCND3; KCNJ11; KCNK1; KCNMA1; KCNQ3; KCNS3; KRAS; LIN7A; MAPK1; MAPT; MYO6; NBEA; NCALD; NRG1; NTRK3; PDLIM5; PLCB1; PPFIBP1; PPFIBP2; PRKAA1; PRKAA2; PRKACB; PRKAR2A; PRKAR2B; PRKCA; PTPRF; RPS6KA3; SHANK2; SIPA1L1; SLC1A1; SLC1A2; SLC38A1; SLC38A2; SLC6A11; SLITRK6; STXBP1; SYT1; UNC13B
AR Up - H3K27ac Undetected,HALLMARK_HYPOXIA,2.1189512453467583e-5,0.0038610318763425576,56,145,,Genes up-regulated in response to low oxygen levels (hypoxia).,ACKR3; AK4; AMPD3; ANGPTL4; BHLHE40; BNIP3L; BTG1; CA12; CCNG2; CITED2; CXCR4; DTNA; EDN2; EGFR; ERRFI1; EXT1; FAM162A; FOXO3; GAA; GBE1; GLRX; GPI; HK1; HK2; HMOX1; IDS; IGFBP3; IRS2; JMJD6; JUN; KDM3A; KLF6; KLHL24; LARGE1; MAP3K1; NDRG1; NEDD4L; NOCT; P4HA2; PDK1; PFKFB3; PFKP; PGM2; PLAUR; PNRC1; PRKCA; RBPJ; RORA; SDC3; SIAH2; TES; TGFBI; TPD52; VLDLR; WSB1; ZNF292
AR Up - H3K27ac Undetected,KEGG_STARCH_AND_SUCROSE_METABOLISM,3.562852076494373e-5,0.005763468958231997,13,19,http://www.genome.jp/kegg/pathway/hsa/hsa00500.html,Starch and sucrose metabolism,ENPP1; GAA; GBE1; GPI; GUSB; HK1; HK2; MGAM; PGM2; PGM2L1; PYGL; UGDH; UXS1
AR Up - H3K27ac Undetected,REACTOME_CGMP_EFFECTS,3.6148766496163056e-5,0.005763468958231997,7,7,https://www.reactome.org/content/detail/R-HSA-418457|https://reactome.org/PathwayBrowser/#/R-HSA-418457,cGMP effects,ITPR1; KCNMA1; PDE10A; PDE11A; PDE5A; PDE9A; PRKG1
AR Up - H3K27ac Undetected,PAX7_TARGET_GENES,4.03016189949154e-5,0.0060476135327076,138,440,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:P23759 (PAX7) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ACACA; ADAM10; ADAR; ADNP; AKAP1; ANKRA2; AOPEP; AP1S2; ATAD2B; ATP1A1-AS1; ATP6V1B2; ATP8A1; BANP; BBX; BICD1; BRF1; C19orf48; C2CD5; CACNA1D; CALM1; CAMTA1; CCNG2; CCNL1; CDC42EP3; CDK5RAP1; CDK6; CHD7; CLASP1; CLPB; CORO1C; CRPPA; CSGALNACT2; CTNND2; CWC22; CYRIB; DHDDS; DHRS2; DMD; DMXL2; EGFR; FAM110B; FBXL14; FBXW7; FCHSD2; FNDC3B; FOXK2; FRY; GASK1B; GASK1B-AS1; GLUD1; GRWD1; GSTCD; HK1; HMG20A; HMOX2; HSD17B7; INPP1; INTS12; KCTD1; KIAA0513; KIF21A; LIMCH1; LPP; LRRC8B; LRRFIP2; MEIS1; MIR99AHG; MRPL1; MXRA7; MYO1E; NDRG1; NEBL; NEDD4L; NFIA; NIN; NIPAL2; NMRAL1; NR3C2; NT5DC3; NUP93; OSBPL8; P4HA2; PATJ; PDP1; PEAK1; POU2F1; PPP1R13B; PRKCE; PRKCH; PRUNE2; PSD3; PSMD1; PTPN4; PUM2; RAD51B; RAD52; RBBP8; RBM47; REV3L; RND3; RNMT; RPL3P4; RPN2; RTTN; SECISBP2L; SEL1L; SERPINB2; SKP2; SMARCE1; SMG7; SNAP23; SNHG29; SPATS2L; SPRED2; SZT2; TARS2; TAX1BP1; TBC1D4; TCF12; TJP1; TMED3; TNFRSF10B; TNIK; TNKS; TTC21B; TUBD1; TUT1; UBE2I; UBR3; USP24; UTP15; WDPCP; WT1; WWTR1; ZBTB20; ZNF331; ZNF517; ZNF827
AR Up - H3K27ac Undetected,SOX10_TARGET_GENES,4.949712076583558e-5,0.007014841948535921,62,169,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:P56693 (SOX10) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ACADSB; ACSS1; ADAMTSL3; AKAP7; ANK3; ANKRD28; ATOH8; ATP6V0A4; BIN3; CCSER2; CLIP4; DIO2; EGLN3; EIF3E; FBXO7; FOXO3; FOXP1; HDAC4; IFT81; INPP4B; KANK1; KDM3A; LIMCH1; LRP2BP; LRRFIP2; MBNL1; MCC; MFSD11; MITF; MMACHC; MTUS1; MUTYH; NEDD9; NFIA; NT5DC3; NTN4; OPHN1; PACSIN2; PCBP1-AS1; PDE4B; PLCH1; PRKCH; RHOBTB3; RNF144A; RNF145; SASH1; SEPTIN8; SLC16A4; SLC22A23; SLC38A2; SLC38A9; SMC6; SORL1; SOX5; TNKS; TPM4; TRPS1; USP28; USP54; VMP1; ZC3H7A; ZNF608
AR Up - H3K27ac Undetected,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,8.152835257249768e-5,0.010946254074339032,111,346,https://www.reactome.org/content/detail/R-HSA-5663202|https://reactome.org/PathwayBrowser/#/R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,ACTB; ADAM10; AKAP9; AKT3; AP3B1; AREG; ATIC; BCL2L11; BTC; CALM1; CAMK2B; CAMK2D; CLTC; CNTRL; CSNK1A1; CUX1; DUSP16; EGFR; EPGN; ERBB4; ERBIN; ESR1; ESRP1; ETV6; FBXW7; FGFR3; FN1; FOXO1; FOXO3; FOXO6; FRS2; FXR1; FZD5; FZD6; FZD8; GAB1; GCC2; GOLGA4; GTF2F1; HDAC4; HDAC5; HDAC8; HDAC9; HEY2; HIP1; IQGAP1; IRS1; IRS2; KANK1; KAT2B; KITLG; KRAS; KSR2; LMO7; LRRFIP1; MAML2; MAPK1; MAPKAP1; MIB1; MSN; MTOR; MYC; NCOR1; NCOR2; NEURL1; NF1; NPM1; NRG1; PAPSS1; PIK3CB; PIK3R1; POLR2B; POLR2K; PPFIBP1; PRR5; PSMA2; PSMA4; PSMD1; PSMD12; PSMD14; PTEN; PTPN11; PTPN12; RAF1; RAP1A; RBPJ; RBX1; RICTOR; RNF43; SEL1L; SEM1; SMAD3; SND1; SPRED1; SPRED2; STAT1; STAT5A; STAT5B; TBL1XR1; TCF7L2; TFG; TGFA; TGFBR2; TNKS; TNKS2; TPM4; VAV1; WDCP; YES1; ZC3HC1; ZMYM2
AR Up - H3K27ac Undetected,REACTOME_CARDIAC_CONDUCTION,9.452179331825026e-5,0.01205625473774282,22,44,https://www.reactome.org/content/detail/R-HSA-5576891|https://reactome.org/PathwayBrowser/#/R-HSA-5576891,Cardiac conduction,AKAP9; ATP1A1; ATP2B1; CALM1; CAMK2B; CAMK2D; FGF12; FGF13; FXYD3; HIPK1; HIPK2; ITPR1; ITPR2; KAT2B; KCND3; KCNE4; KCNJ11; KCNK1; ORAI1; SCN8A; STIM1; WWTR1
AR Up - H3K27ac Undetected,WP_EGFEGFR_SIGNALING_PATHWAY,1.53621758144064e-4,0.018661385953595584,53,144,http://www.wikipathways.org/instance/WP437_r120689,EGF/EGFR signaling pathway,ABL1; ASAP1; CAV2; CBLB; EGFR; ELK4; EPN1; EPS8; ERRFI1; FOXO1; GAB1; GRB10; IQGAP1; IQSEC1; ITCH; JAK1; JUN; KRAS; MAP3K1; MAPK1; MAPK14; MEF2A; MTOR; NCK1; NCOA3; NEDD4; PIK3R1; PLCE1; PLSCR1; PRKCA; PTEN; PTK2; PTK2B; PTPN11; PTPN12; RAF1; RALBP1; RAP1A; RASA1; REPS2; RICTOR; ROCK1; RPS6KA3; SH3GL2; STAMBP; STAT1; STAT5A; STAT5B; STXBP1; TNK2; TWIST1; VAV1; VAV3
AR Up - H3K27ac Undetected,TERF2_TARGET_GENES,1.6680220736138183e-4,0.019341474135403866,35,85,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:Q15554 (TERF2) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",AKAP13; ALPK1; ARHGAP26; ATF7IP; CALCOCO2; CCDC186; CDC14A; CEP128; CHMP1B; CNTNAP2; CNTRL; IGF2BP2; JMJD1C; KDM2A; LPCAT2; LZTFL1; MTHFD1L; MTSS1; NF1; NIBAN1; POU2F1; PRKACB; PTK2; REV3L; RNF7; SERPINI1; SLC25A29; SNX5; SRBD1; ST3GAL1; TBL1XR1; TTLL5; VMP1; WEE1; ZNF451
AR Up - H3K27ac Undetected,SOX3_TARGET_GENES,2.8049702534413537e-4,0.031110778767516927,114,367,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:P41225 (SOX3) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ABCC4; ACACA; ADNP; AGFG1; AGR3; AKAP13; ALG10; ALG8; ANKRD44; ARID1B; ATF7IP; ATP10B; ATP2C1; ATP5PB; ATPSCKMT; BBS12; BTBD10; BTG1; C1orf21; CCT5; CEP128; CEP41; CHCHD3; CNN3; CNOT8; COA1; COPB2-DT; CPEB4; CTNND2; DDR1; DMD; DMXL2; DOK6; DTNA; DYNC1I2; EDRF1; EIF4A3; ENSG00000275765; ETV1; FNDC3B; FOXO6; G3BP1; GNA12; GOLIM4; GRHL1; GSE1; GULP1; HINT3; HMGB1; HMGCR; HNMT; HSPH1; INTS9; IREB2; ITGB1; ITPR1; KANSL1L; KIF21A; LARS1; LIG1; LSM8; MAP1B; MAPK10; MCTP1; METTL15; MFSD6; MID1; MKKS; MMACHC; MORF4L1; MRPS27; MSI1; MSI2; NCOR2; OXR1; PDE4B; PDHX; PDP1; PHF12; PNRC1; PRH1; PSMD1; PTCH1; PTK2; PVT1; RBM15; RIOK1; RMND5A; RORA; SCOC; SEPSECS; SH3RF2; SMC6; SNRPN; SOX5; SPAG9; SPATS2L; SYBU; TAS2R14; TLE1; TMCC1; TMEM18; TNKS; TSHZ1; UACA; VMP1; WDR77; WWP1; ZBTB20; ZBTB5; ZFAND6; ZNF189; ZPR1; ZW10
AR Up - H3K27ac Undetected,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,3.083738196310719e-4,0.031655612342002,27,62,https://www.reactome.org/content/detail/R-HSA-2219528|https://reactome.org/PathwayBrowser/#/R-HSA-2219528,PI3K/AKT Signaling in Cancer,AKT3; AREG; BTC; EGFR; EPGN; ERBB4; ESR1; FGFR3; FOXO1; FOXO3; FOXO6; FRS2; GAB1; IRS1; IRS2; KITLG; MAPKAP1; MTOR; NRG1; PIK3CB; PIK3R1; PRR5; PTEN; PTPN11; RICTOR; TGFA; VAV1
AR Up - H3K27ac Undetected,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,3.102274827714818e-4,0.031655612342002,11,17,https://www.reactome.org/content/detail/R-HSA-75876|https://reactome.org/PathwayBrowser/#/R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,ACSL1; ACSL4; ELOVL2; ELOVL5; ELOVL6; ELOVL7; HACD1; HACD2; HACD3; HACD4; HSD17B12
AR Up - H3K27ac Undetected,REACTOME_MUSCLE_CONTRACTION,3.380791589815814e-4,0.03317076671392362,32,78,https://www.reactome.org/content/detail/R-HSA-397014|https://reactome.org/PathwayBrowser/#/R-HSA-397014,Muscle contraction,ACTN2; AKAP9; ANXA1; ATP1A1; ATP2B1; CALM1; CAMK2B; CAMK2D; DMD; FGF12; FGF13; FXYD3; GUCY1A1; GUCY1A2; HIPK1; HIPK2; ITPR1; ITPR2; KAT2B; KCND3; KCNE4; KCNJ11; KCNK1; MYLK; ORAI1; SCN8A; STIM1; TMOD3; TPM1; TPM4; TTN; WWTR1
