group,gs_name,adj_p,NES,status,padj_chip,padj_rna,numDEInCat,numInCat,leadingEdge,genes,gs_url
AR Up - H3K27ac Undetected,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.003779316690727416,1.4749450919635367,Neither,0.05159431517386315,0.1689964044156624,16,177,ENSG00000096060; ENSG00000100003; ENSG00000148700; ENSG00000147642; ENSG00000155850; ENSG00000157600; ENSG00000196372; ENSG00000106688; ENSG00000144749; ENSG00000155380; ENSG00000197375; ENSG00000111666; ENSG00000155792; ENSG00000109321; ENSG00000181788; ENSG00000182704,FKBP5; SEC14L2; ADD3; SYBU; SLC26A2; TMEM164; ASB13; SLC1A1; LRIG1; SLC16A1; SLC22A5; CHPT1; DEPTOR; AREG; SIAH2; TSKU,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - H3K27ac Undetected,REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,0.024794255583350275,-1.6480121403421855,Neither,0.20424257229980833,0.10910099288145499,4,26,ENSG00000169083; ENSG00000091831; ENSG00000082175; ENSG00000151623,AR; ESR1; PGR; NR3C2,https://www.reactome.org/content/detail/R-HSA-4090294|https://reactome.org/PathwayBrowser/#/R-HSA-4090294
AR Up - H3K27ac Up,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.00268412278035035,1.4749450919635367,ChIP Only,5.939884800162221e-5,0.1689964044156624,10,177,ENSG00000165272; ENSG00000096060; ENSG00000100003; ENSG00000127663; ENSG00000147642; ENSG00000113645; ENSG00000157600; ENSG00000197375; ENSG00000111666; ENSG00000155792,AQP3; FKBP5; SEC14L2; KDM4B; SYBU; WWC1; TMEM164; SLC22A5; CHPT1; DEPTOR,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - H3K27ac Up,HALLMARK_ESTROGEN_RESPONSE_LATE,0.018263047335684603,1.3925661443316988,ChIP Only,5.939884800162221e-5,0.3470675939226437,6,165,ENSG00000109814; ENSG00000096060; ENSG00000010278; ENSG00000140263; ENSG00000197375; ENSG00000111666,UGDH; FKBP5; CD9; SORD; SLC22A5; CHPT1,"
      http://www.gsea-msigdb.org/gsea/msigdb/collections.jsp"
AR Up - H3K27ac Up,HES2_TARGET_GENES,4.5587491986018645e-5,1.3486260268014867,ChIP Only,0.03417855412966118,0.10145194072786692,11,883,ENSG00000165272; ENSG00000135373; ENSG00000099250; ENSG00000147642; ENSG00000049759; ENSG00000167291; ENSG00000131844; ENSG00000104205; ENSG00000104643; ENSG00000141582; ENSG00000163683,AQP3; EHF; NRP1; SYBU; NEDD4L; TBC1D16; MCCC2; SGK3; MTMR9; CBX4; SMIM14,http://gtrd.biouml.org/
AR Up - H3K27ac Up,ZBTB18_TARGET_GENES,0.003586782094290755,1.3158453695881107,Neither,0.4738403215540593,0.20611095637392327,7,619,ENSG00000241878; ENSG00000127663; ENSG00000167291; ENSG00000010278; ENSG00000131844; ENSG00000104205; ENSG00000168026,PISD; KDM4B; TBC1D16; CD9; MCCC2; SGK3; TTC21A,http://gtrd.biouml.org/
AR Up - H3K27ac Up,GREB1_TARGET_GENES,0.01717484108859072,1.2631608978516602,Neither,0.5111547780831447,0.3378622766274803,19,652,ENSG00000100003; ENSG00000156853; ENSG00000135373; ENSG00000099250; ENSG00000127663; ENSG00000147642; ENSG00000113645; ENSG00000167291; ENSG00000179104; ENSG00000131844; ENSG00000083307; ENSG00000072134; ENSG00000141519; ENSG00000235123; ENSG00000272734; ENSG00000111666; ENSG00000186187; ENSG00000125968; ENSG00000101417,SEC14L2; ZNF689; EHF; NRP1; KDM4B; SYBU; WWC1; TBC1D16; TMTC2; MCCC2; GRHL2; EPN2; CCDC40; DSCAM-AS1; ADIRF-AS1; CHPT1; ZNRF1; ID1; PXMP4,http://gtrd.biouml.org/
AR Up - H3K27ac Up,WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING,0.04040913232474945,1.4274204201196095,Neither,0.5111547780831447,0.47447234448745823,3,63,ENSG00000131791; ENSG00000278540; ENSG00000162409,PRKAB2; ACACA; PRKAA2,http://www.wikipathways.org/instance/WP1982_r116442
AR Up - H3K27ac Up,REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,0.00910639772663756,1.4778447308315503,Neither,0.5261129468561484,0.26564282081678064,3,51,ENSG00000109814; ENSG00000134202; ENSG00000166743,UGDH; GSTM3; ACSM1,https://www.reactome.org/content/detail/R-HSA-156580|https://reactome.org/PathwayBrowser/#/R-HSA-156580
AR Up - H3K27ac Up,REACTOME_FATTY_ACID_METABOLISM,0.003586782094290755,1.59544055155984,Neither,0.6064115390568929,0.10145194072786692,7,115,ENSG00000005469; ENSG00000131791; ENSG00000198721; ENSG00000095321; ENSG00000278540; ENSG00000197375; ENSG00000162409,CROT; PRKAB2; ECI2; CRAT; ACACA; SLC22A5; PRKAA2,https://www.reactome.org/content/detail/R-HSA-8978868|https://reactome.org/PathwayBrowser/#/R-HSA-8978868
AR Up - H3K27ac Up,NOTCH3_TARGET_GENES,0.029665930423412954,1.2055309029746706,Neither,0.6064115390568929,0.4132979207612979,13,748,ENSG00000241878; ENSG00000047644; ENSG00000005810; ENSG00000119946; ENSG00000095321; ENSG00000272734; ENSG00000151929; ENSG00000173013; ENSG00000235823; ENSG00000180891; ENSG00000168502; ENSG00000168818; ENSG00000184708,PISD; WWC3; MYCBP2; CNNM1; CRAT; ADIRF-AS1; BAG3; CCDC96; OLMALINC; CUEDC1; MTCL1; STX18; EIF4ENIF1,http://gtrd.biouml.org/
AR Up - H3K27ac Up,WP_VEGFAVEGFR2_SIGNALING_PATHWAY,0.04313222831174126,1.259394597482001,Neither,0.6380114589244466,0.4999782384772737,4,344,ENSG00000149177; ENSG00000171552; ENSG00000278540; ENSG00000162409,PTPRJ; BCL2L1; ACACA; PRKAA2,http://www.wikipathways.org/instance/WP3888_r116782
AR Up - H3K27ac Up,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,0.04040913232474945,1.386491441078269,Neither,0.6380114589244466,0.4852682064894377,5,91,ENSG00000131844; ENSG00000173193; ENSG00000138496; ENSG00000105835; ENSG00000278540,MCCC2; PARP14; PARP9; NAMPT; ACACA,https://www.reactome.org/content/detail/R-HSA-196849|https://reactome.org/PathwayBrowser/#/R-HSA-196849
AR Up - H3K27ac Up,HBZ_TARGET_GENES,0.00910639772663756,1.3832585004487443,Neither,0.6380114589244466,0.1414746522442344,7,458,ENSG00000165272; ENSG00000164188; ENSG00000099250; ENSG00000111961; ENSG00000131844; ENSG00000171552; ENSG00000232400,AQP3; RANBP3L; NRP1; SASH1; MCCC2; BCL2L1; RAD17P1,http://gtrd.biouml.org/
AR Up - H3K27ac Up,BPTF_TARGET_GENES,0.029665930423412954,1.2466920526225478,Neither,0.6380114589244466,0.40122086570477244,11,523,ENSG00000167291; ENSG00000131791; ENSG00000173193; ENSG00000146535; ENSG00000168026; ENSG00000141582; ENSG00000243069; ENSG00000163683; ENSG00000180891; ENSG00000150347; ENSG00000100867,TBC1D16; PRKAB2; PARP14; GNA12; TTC21A; CBX4; ARHGEF26-AS1; SMIM14; CUEDC1; ARID5B; DHRS2,http://gtrd.biouml.org/
AR Up - H3K27ac Up,REACTOME_PEROXISOMAL_PROTEIN_IMPORT,0.012596848749781255,1.5222492693789489,Neither,0.6380114589244466,0.1840890525023953,3,51,ENSG00000005469; ENSG00000198721; ENSG00000095321,CROT; ECI2; CRAT,https://www.reactome.org/content/detail/R-HSA-9033241|https://reactome.org/PathwayBrowser/#/R-HSA-9033241
AR Up - H3K27ac Up,REACTOME_PEROXISOMAL_LIPID_METABOLISM,0.029665930423412954,1.4299042641535882,Neither,0.6503353920717739,0.4196140719914973,3,25,ENSG00000005469; ENSG00000198721; ENSG00000095321,CROT; ECI2; CRAT,https://www.reactome.org/content/detail/R-HSA-390918|https://reactome.org/PathwayBrowser/#/R-HSA-390918
AR Up - H3K27ac Up,REACTOME_PROTEIN_LOCALIZATION,0.029665930423412954,1.5172345034251422,Neither,0.7247508835076338,0.1689964044156624,5,146,ENSG00000005469; ENSG00000198721; ENSG00000095321; ENSG00000101417; ENSG00000166816,CROT; ECI2; CRAT; PXMP4; LDHD,https://www.reactome.org/content/detail/R-HSA-9609507|https://reactome.org/PathwayBrowser/#/R-HSA-9609507
AR Up - H3K27ac Up,REACTOME_BIOLOGICAL_OXIDATIONS,0.029665930423412954,1.4694721898678131,Neither,0.7765268113171866,0.25715889118101154,6,95,ENSG00000109814; ENSG00000134202; ENSG00000166743; ENSG00000106546; ENSG00000088002; ENSG00000168765,UGDH; GSTM3; ACSM1; AHR; SULT2B1; GSTM4,https://www.reactome.org/content/detail/R-HSA-211859|https://reactome.org/PathwayBrowser/#/R-HSA-211859
AR Up - H3K27ac Up,REACTOME_METABOLISM_OF_LIPIDS,0.029665930423412954,1.3585401815337608,Neither,0.7765268113171866,0.15651895334398772,15,523,ENSG00000176387; ENSG00000241878; ENSG00000005469; ENSG00000125772; ENSG00000131791; ENSG00000198721; ENSG00000104643; ENSG00000095321; ENSG00000278540; ENSG00000197375; ENSG00000162409; ENSG00000111666; ENSG00000106546; ENSG00000152944; ENSG00000167107,HSD11B2; PISD; CROT; GPCPD1; PRKAB2; ECI2; MTMR9; CRAT; ACACA; SLC22A5; PRKAA2; CHPT1; AHR; MED21; ACSF2,https://www.reactome.org/content/detail/R-HSA-556833|https://reactome.org/PathwayBrowser/#/R-HSA-556833
AR Up - H3K27ac Up,KEGG_PEROXISOME,0.031857803865339256,1.4556977756683758,Neither,0.7787609678491788,0.3412649795693597,4,63,ENSG00000005469; ENSG00000198721; ENSG00000095321; ENSG00000101417,CROT; ECI2; CRAT; PXMP4,http://www.genome.jp/kegg/pathway/hsa/hsa04146.html
