gene_name,gene_id,RNA_logFC,RNA_FDR,range,dist2Gene,ChIP_logCPM,ChIP_logFC,ChIP_FDR,overlaps_ref,status,region,feature
EHF,ENSG00000135373,0.5910503364291367,1.1335385070950072e-5,chr11:34692801-34693720,10196,1.1544715278786997,1.9351686467912934,2.2516190253531218e-10,TRUE,Up,Intergenic (>10kb),No Feature
EHF,ENSG00000135373,0.5910503364291367,1.1335385070950072e-5,chr11:34771481-34771880,88876,0.6362970821712016,1.2612580737876307,0.004430219204021656,TRUE,Up,Intergenic (<10kb),Enhancer
ARHGEF37,ENSG00000183111,0.9594666457034228,1.8113096972567875e-5,chr5:148980281-148980520,0,0.37418017512184465,1.6977101510016894,2.5757516834626963e-5,TRUE,Up,Intron,Enhancer
ARHGEF37,ENSG00000183111,0.9594666457034228,1.8113096972567875e-5,chr5:148980801-148981200,0,0.5023328527540157,2.042768152712237,4.194328918859724e-8,TRUE,Up,Intron,Enhancer
ARHGEF37,ENSG00000183111,0.9594666457034228,1.8113096972567875e-5,chr5:148993321-148993720,0,0.6254589637828212,1.2981299918020266,0.001096773662451811,TRUE,Up,Intron,No Feature
NRP1,ENSG00000099250,0.6212520483598395,3.64361628603203e-5,chr10:33529921-33530440,0,0.7248462381638322,1.135293332932801,0.00552205441596043,TRUE,Up,Intron,No Feature
AL033523.1,ENSG00000228793,2.2137864683363677,6.523905580879097e-5,chr6:3669761-3670240,0,0.7408869594664327,1.464091823319841,8.062792970993996e-5,TRUE,Up,Intron,Enhancer
TTC12,ENSG00000149292,0.7533224941507931,8.798631748418726e-5,chr11:113211161-113213760,0,2.0987364611724115,0.7974473575933438,0.013122151108842474,TRUE,Up,Promoter (-1500/+500),Enhancer
PTPRJ,ENSG00000149177,0.601234639862719,1.019525657750917e-4,chr11:48063041-48063560,0,1.005486221124328,1.008135615329401,0.01349048792478491,TRUE,Up,Upstream Promoter (-5kb),Enhancer
KDM4B,ENSG00000127663,0.7385571562163513,1.019525657750917e-4,chr19:4989881-4993440,0,1.9052096278703858,1.2579692706560517,8.050093111715748e-7,TRUE,Up,Intron,Enhancer
SYBU,ENSG00000147642,0.8407098845888896,1.9400293929134035e-4,chr8:110592641-110593400,0,1.6689833572125743,1.076884428407057,2.8096202920895285e-4,TRUE,Up,Promoter (-1500/+500),No Feature
NEDD4L,ENSG00000049759,0.5371734366971431,3.226524289428892e-4,chr18:55901561-55903040,0,1.0042120062664874,0.9007547361010351,0.02621792106281134,TRUE,Up,Intron,No Feature
NEDD4L,ENSG00000049759,0.5371734366971431,3.226524289428892e-4,chr18:55952481-55953040,0,0.9053405447061007,1.5273570890102965,7.080861729058557e-6,TRUE,Up,Intron,No Feature
NEDD4L,ENSG00000049759,0.5371734366971431,3.226524289428892e-4,chr18:55953241-55953400,0,0.3484597837507798,1.1370455665360086,0.019703158681184076,TRUE,Up,Intron,No Feature
CSRNP1,ENSG00000144655,0.7242904542125613,3.326452012648099e-4,chr3:39172241-39173080,10265,1.2319690341400866,1.0963349903836659,0.002484988688844941,TRUE,Up,Promoter (Other Gene),Enhancer
WWC1,ENSG00000113645,0.5635309863806578,5.636739491533187e-4,chr5:167710561-167710880,7775,0.36293314299985424,1.3956241162957466,0.04414903755179782,TRUE,Up,Intergenic (<10kb),No Feature
SASH1,ENSG00000111961,0.8360224990078077,6.769428571458748e-4,chr6:148579321-148580120,13319,1.632999748113027,0.9365478329972974,0.004826213265123585,TRUE,Up,Intron (Other Gene),Enhancer
CNTNAP2,ENSG00000174469,0.5366557699284407,8.881652189666684e-4,chr7:148082041-148082560,0,1.1350483437542653,1.081148963275452,0.0036088961042394594,TRUE,Up,Upstream Promoter (-5kb),Enhancer
CNTNAP2,ENSG00000174469,0.5366557699284407,8.881652189666684e-4,chr7:148082721-148083720,0,1.6618463686181972,0.7501419956200446,0.038045730264456915,TRUE,Up,Upstream Promoter (-5kb),Enhancer
AKAP13,ENSG00000170776,0.5020267891663177,0.00556889493652094,chr15:86080681-86081360,0,0.6740785899410866,1.5261588576924825,3.050341867925986e-5,TRUE,Up,Intron,No Feature
CD9,ENSG00000010278,0.4570938428883021,0.01616530014143371,chr12:6375561-6376440,28123,0.9402323992634348,1.1205249202259566,0.002332671330081411,TRUE,Up,Intergenic (<10kb),Enhancer
CD9,ENSG00000010278,0.4570938428883021,0.01616530014143371,chr12:6376601-6377160,29163,0.7643412930926767,0.9986381646883405,0.020858018107650096,TRUE,Up,Intergenic (<10kb),Enhancer
SPRED1,ENSG00000166068,0.4633563420352216,0.01692134046275541,chr15:38508601-38508960,36076,0.5481358533336274,1.3316093584115425,0.001131920390370506,TRUE,Up,Intron (Other Gene),Enhancer
VSTM2L,ENSG00000132821,1.1965909914340669,0.01761400964517408,chr20:36618321-36618720,44568,0.6569773191006479,1.2369001521461864,0.002106124474588797,TRUE,Up,Intron (Other Gene),Enhancer
IQGAP2,ENSG00000145703,0.6874722325192112,0.01834434174188618,chr5:75709041-75709440,0,0.5029360564175275,1.335426810360383,0.03482815706576213,TRUE,Up,Intron,Enhancer
PRKAB2,ENSG00000131791,0.4776862698939684,0.02561641752055716,chr1:146580841-146582200,44484,1.1709370150785798,2.1455501448568173,2.501020425783926e-12,TRUE,Up,Intron (Other Gene),Enhancer
PRKAB2,ENSG00000131791,0.4776862698939684,0.02561641752055716,chr1:146585001-146587360,39324,2.2099853821167925,0.7558995811765076,0.009851223439516362,TRUE,Up,Intron (Other Gene),Enhancer
